reason,term,score
It was posted by someone affiliated with the community,and,0.07435318233528045
It was posted by someone affiliated with the community,to,0.049949327013964824
It was posted by someone affiliated with the community,is,0.04222023808028067
It was posted by someone affiliated with the community,very,0.03093975092185986
It was posted by someone affiliated with the community,in,0.030734677609677862
It was posted by someone affiliated with the community,great,0.02936142167409767
It was posted by someone affiliated with the community,are,0.029242655690642813
It was posted by someone affiliated with the community,of,0.02652630542041484
It was posted by someone affiliated with the community,staff,0.026192626898654918
It was posted by someone affiliated with the community,have,0.02594266169373262
It was posted by someone affiliated with the community,44,0.025364287101611066
It was posted by someone affiliated with the community,my,0.025356782594584428
It was posted by someone affiliated with the community,for,0.02461947473039362
It was posted by someone affiliated with the community,it,0.024037646628777137
It's for the wrong community,the,0.1028880268016048
It's for the wrong community,and,0.06999533078397359
It's for the wrong community,to,0.060376245794532254
It's for the wrong community,is,0.03976096643016606
It's for the wrong community,44,0.03969967117974248
It's for the wrong community,they,0.0389222715011309
It's for the wrong community,in,0.03830287398071927
It's for the wrong community,you,0.03461631835639648
It's for the wrong community,of,0.03461405426846245
It's for the wrong community,it,0.03366950803725542
It's for the wrong community,apos,0.03365588745733671
It's for the wrong community,was,0.029972790254255123
It's for the wrong community,that,0.028324246385615922
It's for the wrong community,are,0.028213494112149032
It's for the wrong community,for,0.027904415216049333
It's influenced by COVID-19 / conavirus,the,0.09031337298097694
It's influenced by COVID-19 / conavirus,and,0.06197932987944151
It's influenced by COVID-19 / conavirus,to,0.056346642278955715
It's influenced by COVID-19 / conavirus,apos,0.03826104733978095
It's influenced by COVID-19 / conavirus,is,0.03707044731088713
It's influenced by COVID-19 / conavirus,you,0.03633243652876987
It's influenced by COVID-19 / conavirus,in,0.03449934751544013
It's influenced by COVID-19 / conavirus,they,0.03105398139761569
It's influenced by COVID-19 / conavirus,for,0.029765811503366085
It's influenced by COVID-19 / conavirus,of,0.029609604116071782
It's influenced by COVID-19 / conavirus,that,0.029065581801752685
It's influenced by COVID-19 / conavirus,it,0.02831045541950822
It's influenced by COVID-19 / conavirus,are,0.026373723131955386
It's influenced by COVID-19 / conavirus,my,0.025498452884966532
It's influenced by COVID-19 / conavirus,not,0.025283017441079716
nan,zones,0.0
nan,go the,0.0
nan,go into,0.0
nan,go live,0.0
nan,go look,0.0
nan,go off,0.0
nan,go on,0.0
nan,go out,0.0
nan,go outside,0.0
nan,go over,0.0
nan,go see,0.0
nan,go somewhere,0.0
nan,go specially,0.0
nan,go straight,0.0
nan,go there,0.0
