year_month,reason,count
2018-09,It was posted by someone affiliated with the community,119
2018-09,It's for the wrong community,62
2018-10,It contains false information,214
2018-10,It contains irrelevant information that is not useful,72
2018-10,It contains promotional materials,11
2018-10,"It contains threats, lewdness or hate speech",156
2018-10,It violates ApartmentRatings' privacy standards,109
2018-10,"It was posted by a competitor, ex-employee or evicted resident",180
2018-10,It was posted by someone affiliated with the community,137
2018-10,It's for the wrong community,49
2018-11,It contains false information,178
2018-11,It contains irrelevant information that is not useful,57
2018-11,It contains promotional materials,24
2018-11,"It contains threats, lewdness or hate speech",117
2018-11,It violates ApartmentRatings' privacy standards,83
2018-11,"It was posted by a competitor, ex-employee or evicted resident",162
2018-11,It was posted by someone affiliated with the community,115
2018-11,It's for the wrong community,38
2018-12,It contains false information,176
2018-12,It contains irrelevant information that is not useful,63
2018-12,It contains promotional materials,32
2018-12,"It contains threats, lewdness or hate speech",133
2018-12,It violates ApartmentRatings' privacy standards,87
2018-12,"It was posted by a competitor, ex-employee or evicted resident",147
2018-12,It was posted by someone affiliated with the community,122
2018-12,It's for the wrong community,19
2019-01,It contains false information,295
2019-01,It contains irrelevant information that is not useful,61
2019-01,It contains promotional materials,50
2019-01,"It contains threats, lewdness or hate speech",178
2019-01,It violates ApartmentRatings' privacy standards,95
2019-01,"It was posted by a competitor, ex-employee or evicted resident",240
2019-01,It was posted by someone affiliated with the community,127
2019-01,It's for the wrong community,79
2019-02,It contains false information,191
2019-02,It contains irrelevant information that is not useful,36
2019-02,It contains promotional materials,9
2019-02,"It contains threats, lewdness or hate speech",128
2019-02,It violates ApartmentRatings' privacy standards,95
2019-02,"It was posted by a competitor, ex-employee or evicted resident",204
2019-02,It was posted by someone affiliated with the community,113
2019-02,It's for the wrong community,33
2019-03,It contains false information,177
2019-03,It contains irrelevant information that is not useful,63
2019-03,It contains promotional materials,9
2019-03,"It contains threats, lewdness or hate speech",144
2019-03,It violates ApartmentRatings' privacy standards,109
2019-03,"It was posted by a competitor, ex-employee or evicted resident",176
2019-03,It was posted by someone affiliated with the community,103
2019-03,It's for the wrong community,52
2019-04,It contains false information,149
2019-04,It contains irrelevant information that is not useful,50
2019-04,It contains promotional materials,3
2019-04,"It contains threats, lewdness or hate speech",139
2019-04,It violates ApartmentRatings' privacy standards,103
2019-04,"It was posted by a competitor, ex-employee or evicted resident",159
2019-04,It was posted by someone affiliated with the community,75
2019-04,It's for the wrong community,42
2019-05,It contains false information,201
2019-05,It contains irrelevant information that is not useful,50
2019-05,It contains promotional materials,7
